name,rating,reviews,location,salery,interview,job_ava
Motilal Oswal Financial Services,3.7,4k,Financial Services | Mumbai +162 other locations,12.4k,514,53
Utkarsh Small Finance Bank,3.7,3.9k,Banking | Varanasi +377 other locations,10.5k,274,10
Tata AIA Life Insurance,3.9,3.9k,Insurance | Mumbai +407 other locations,13.6k,227,578
Hetero,3.8,3.9k,Pharma | Hyderabad / Secunderabad +63 other locations,14.9k,275,140
Team Lease,3.9,3.9k,Recruitment | Bangalore / Bengaluru +378 other locations,15.5k,236,--
Bajaj Auto,3.8,3.9k,Automobile | Pune +301 other locations,13.9k,306,116
Thermax Limited,4.2,3.8k,Industrial Machinery | Pune +235 other locations,12.6k,310,81
Macleods Pharmaceuticals,3.6,3.8k,Pharma | Mumbai +123 other locations,15.4k,246,17
LG Electronics,3.9,3.8k,Consumer Electronics & Appliances | Pune +285 other locations,10.9k,243,--
Tata Communications,4.0,3.8k,Telecom | Pune +98 other locations,23.1k,283,27
Aakash Educational Services,3.3,3.8k,Education & Training | New Delhi +235 other locations,12.8k,345,58
Lenskart,3.3,3.8k,Internet | New Delhi +229 other locations,12.4k,409,200
John Deere,4.0,3.8k,Industrial Machinery | Pune +144 other locations,14.9k,256,13
Berger Paints,3.7,3.8k,Chemicals | Kolkata +326 other locations,9.5k,361,148
Oyo Rooms,3.1,3.8k,Internet | Gurgaon / Gurugram +119 other locations,15.5k,245,118
Royal Enfield,4.2,3.8k,Automobile | Chennai +360 other locations,14.4k,184,9
VE Commercial Vehicles,3.9,3.7k,Automobile | Indore +151 other locations,13.3k,259,8
Jubilant Foods Works,3.7,3.7k,Hospitality | New Delhi +244 other locations,8.8k,233,128
HDFC Ergo General Insurance,3.9,3.7k,Insurance | Mumbai +310 other locations,11.8k,181,16
Reliance Communications,4.0,3.7k,Telecom | Mumbai +462 other locations,9.7k,101,--
DCB Bank,3.8,3.7k,Banking | Mumbai +330 other locations,9.6k,211,11
Jindal Steel Limited,3.9,3.7k,Iron & Steel | Angul +165 other locations,15k,380,35
Carelon Global Solutions,3.8,3.6k,Software Product | Bangalore / Bengaluru +18 other locations,26k,399,28
Hindalco Industries,4.2,3.6k,Metals & Mining | Sambalpur +121 other locations,11.8k,268,5
Cummins,4.3,3.6k,Industrial Machinery | Pune +109 other locations,15.2k,267,6
